address,company_name,job_name,pay,person_count,study,years
北京  ,软通动力信息技术集团,自动化测试工程师,10k-15k,10000人以上,大专,3-5年
北京 朝阳区 北苑,狸米科技,自动化测试工程师,20k-40k·14薪,1000-9999人,本科,5-10年
北京  ,捷科智诚,自动化测试工程师,10k-15k,1000-9999人,本科,3-5年
北京  ,小米,高级自动化测试工程师,25k-45k,10000人以上,本科,5-10年
北京 海淀区 西北旺,四维图新,自动化测试工程师,12k-22k,1000-9999人,本科,5-10年
北京 朝阳区 望京,一点资讯,前端自动化测试工程师,20k-30k,500-999人,本科,1-3年
北京 丰台区 世界公园,海鑫科金,自动化测试工程师,10k-20k,1000-9999人,本科,3-5年
北京  ,中科金审,自动化测试工程师,15k-25k,100-499人,本科,5-10年
北京 朝阳区 双井,中科软,中高级自动化测试工程师,10k-15k,10000人以上,本科,1-3年
北京 西城区 积水潭,山立信息,自动化测试工程师,8k-15k,,本科,1-3年
北京 海淀区 苏州街,新东方教育,自动化测试工程师,20k-28k·13薪,10000人以上,本科,5-10年
北京 海淀区 西北旺,阳光汇点,App自动化测试工程师,15k-25k,100-499人,本科,3-5年
北京 朝阳区 望京,一点资讯,前端自动化测试工程师,15k-25k,500-999人,本科,经验不限
北京 海淀区 知春路,好未来,自动化测试工程师,15k-30k,10000人以上,学历不限,5-10年
北京 海淀区 上地,闪送科技,自动化测试工程师,10k-20k,500-999人,本科,3-5年
北京 朝阳区 望京,狮桥资本,自动化测试工程师,15k-25k,1000-9999人,本科,3-5年
北京 朝阳区 北苑,狸米科技,自动化测试工程师,18k-35k,1000-9999人,本科,3-5年
北京  ,京东数字科技,高级自动化测试工程师-web和服务端方向,20k-40k,1000-9999人,本科,3-5年
北京 海淀区 马连洼,广联达,高级自动化测试工程师,25k-30k,1000-9999人,本科,3-5年
北京 朝阳区 大屯,极道科技,自动化测试工程师,10k-20k,20-99人,本科,1-3年
北京 海淀区 上地,广联达,自动化测试工程师,20k-40k,1000-9999人,本科,5-10年
北京 朝阳区 望京,altenchina,自动化测试工程师,13k-16k,10000人以上,本科,3-5年
